,Image,Accuracy,F1,Jaccard,Recall,Precision
171,10616,0.9983673095703125,0.986656690360394,0.9736647797194191,0.995345326456158,0.9781184324391149
172,10631,0.9984397888183594,0.9873174361995721,0.9749525384285627,0.9914061526964753,0.9832623062195046
173,10641,0.9980354309082031,0.9844940234245627,0.9694615749525617,0.9845236661447669,0.9844643824893118
174,10645,0.9980125427246094,0.9844091330759793,0.9692969532677235,0.9858547111004555,0.9829677882029523
175,10649,0.9894142150878906,0.9221533368866945,0.8555515069491437,0.9880966694721655,0.8644611581549466
176,10652,0.9884033203125,0.9151217333035515,0.8435248095532222,0.9877049180327869,0.8524760715771952
177,10655,0.9866600036621094,0.9029231324431612,0.8230263157894737,0.9851587109280349,0.833358954650269
178,1066,1.0,1.0,0.0,1.0,1.0
179,10663,0.9870643615722656,0.9035195037983328,0.8240178525092117,0.983462372251471,0.8355962530259973
180,10668,0.986572265625,0.8992501001774571,0.8169431587706069,0.9832258872128685,0.8284900585412162
181,10675,0.9864997863769531,0.8971490017146676,0.8134816064087699,0.983434214718063,0.8247835844822058
182,10679,0.9856376647949219,0.8894695123741303,0.8009411018293328,0.9795667636598772,0.8145499516076997
183,10684,0.9850692749023438,0.8835604212530493,0.7914090812193562,0.9809102318515094,0.803788903924222
184,10688,0.9858970642089844,0.8872900216456815,0.7974135569072278,0.9800646551724138,0.8105609090402718
185,10692,0.9863128662109375,0.888063892181943,0.7986644969418102,0.9788858321870701,0.8126641543907731
186,10700,0.9864959716796875,0.8840408805031447,0.792180345191969,0.9742256876759801,0.8091383342327757
187,10707,0.9846153259277344,0.8635702445790061,0.7598976007620408,0.9790595996011352,0.7724521907528443
188,10713,0.9847602844238281,0.8588588588588588,0.7526315789473684,0.9915973241964431,0.7574624540412538
189,10738,0.9910621643066406,0.8963687027290017,0.8121994228919526,0.9903244722439406,0.818695968328351
190,10750,0.9910697937011719,0.8861215157853772,0.7955279937112412,0.98635477582846,0.8043804645411994
191,10754,0.99151611328125,0.887426604575825,0.7976342129208371,0.9869398784057645,0.8061430936178039
192,10760,0.9909210205078125,0.8744725738396625,0.7769447047797563,0.9851455733808675,0.7861545756282599
193,10789,0.9980010986328125,0.9577963917525774,0.9190108191653786,0.9953130231001004,0.9230052778640174
194,10808,0.9970207214355469,0.8981082844096543,0.8150603836135448,1.0,0.8150603836135448
195,10829,1.0,1.0,0.0,1.0,1.0
196,10830,1.0,1.0,0.0,1.0,1.0
197,10838,1.0,1.0,0.0,1.0,1.0
198,1085,1.0,1.0,0.0,1.0,1.0
199,10866,1.0,1.0,0.0,1.0,1.0
200,10872,1.0,1.0,0.0,1.0,1.0
201,10881,1.0,1.0,0.0,1.0,1.0
202,10887,1.0,1.0,0.0,1.0,1.0
203,10888,1.0,1.0,0.0,1.0,1.0
204,10896,1.0,1.0,0.0,1.0,1.0
205,10898,1.0,1.0,0.0,1.0,1.0
206,10904,1.0,1.0,0.0,1.0,1.0
207,1092,1.0,1.0,0.0,1.0,1.0
208,10920,1.0,1.0,0.0,1.0,1.0
209,10921,1.0,1.0,0.0,1.0,1.0
210,10930,1.0,1.0,0.0,1.0,1.0
211,10933,1.0,1.0,0.0,1.0,1.0
212,1094,1.0,1.0,0.0,1.0,1.0
213,10944,1.0,1.0,0.0,1.0,1.0
214,10945,1.0,1.0,0.0,1.0,1.0
215,10957,1.0,1.0,0.0,1.0,1.0
216,10958,1.0,1.0,0.0,1.0,1.0
217,10964,1.0,1.0,0.0,1.0,1.0
218,10972,1.0,1.0,0.0,1.0,1.0
219,10977,1.0,1.0,0.0,1.0,1.0
220,10979,1.0,1.0,0.0,1.0,1.0
221,10986,0.9912071228027344,0.11038209185642608,0.05841503267973856,1.0,0.05841503267973856
222,10994,0.9795265197753906,0.30685780705153043,0.18123569794050343,1.0,0.18123569794050343
223,11000,0.9823570251464844,0.5105302148375489,0.3427596987352565,0.9865030674846625,0.34437464306110793
224,11014,0.9957199096679688,0.9251600853788687,0.8607422117413429,0.9877510326164364,0.8700288545979175
225,11017,0.9962158203125,0.9410436229644598,0.8886519250196431,0.9913598797896318,0.8955882352941177
226,11020,0.996673583984375,0.9528546712802768,0.9099545642296571,0.9937972256682079,0.9151521445632984
227,11031,0.9880752563476562,0.8824281630810893,0.7895941307127953,0.99804321932959,0.7908183901847108
228,11032,0.9877586364746094,0.8818178470150628,0.788617350635663,0.9979161457030924,0.7899181842174716
229,11049,0.9862480163574219,0.8926540213798647,0.8061202538453265,0.9910737900026448,0.8120158188417574
230,11054,0.9810028076171875,0.8638823593724375,0.7603810806909493,0.9957781978575929,0.7628403166634485
231,11059,0.9746437072753906,0.8328093165983349,0.7135160762003275,0.9971089562127327,0.714995249201002
232,11061,0.9736595153808594,0.8294598532934871,0.7086129045870785,0.9972088603836332,0.7100211416490486
233,11065,0.9747390747070312,0.8390374331550802,0.7227084292952557,0.9959030582804386,0.7248635027299454
234,1107,1.0,1.0,0.0,1.0,1.0
235,11097,0.9889297485351562,0.9341472270127985,0.8764317649563551,0.979070541787566,0.8931655456715123
236,11101,0.9906692504882812,0.9447481364355094,0.8952821303193766,0.9824297660434088,0.9098503306648102
